employee_id,first_name,last_name,base_salary,is_active,role_id,supervisor_id,hired_date,email,phone
1,Sebastian,Aguirre,26399,1,13,,2014-12-13,sebastian.aguirre@furniturepro.com,+48578964130
2,Stefan,Owens,17576,1,1,1,2019-06-20,stefan.owens@furniturepro.com,+48496186846
3,Gabriel,Fiolka,11855,1,4,1,2019-10-19,gabriel.fiolka@furniturepro.com,+48617493183
4,Justyna,Gross,10752,1,7,1,2020-05-27,justyna.gross@furniturepro.com,+48495725480
5,Christine,Bishop,12046,1,4,1,2020-11-28,christine.bishop@furniturepro.com,+48494556034
6,Julita,Jones,10636,1,9,1,2021-01-17,julita.jones@furniturepro.com,+48961849815
7,Urszula,Wlazly,10311,1,7,1,2021-02-21,urszula.wlazly@furniturepro.com,+48371136174
8,Konrad,Doliwa,5538,1,2,2,2021-07-09,konrad.doliwa@furniturepro.com,+48126118236
9,Alex,Budner,6001,1,2,2,2021-07-10,alex.budner@furniturepro.com,+48292678918
10,Tracy,Majdan,7481,1,12,1,2021-09-04,tracy.majdan@furniturepro.com,+48183458158
11,Roza,Morrison,5390,1,2,2,2021-10-18,roza.morrison@furniturepro.com,+48740693202
12,Amy,Nichols,10872,1,10,1,2021-11-01,amy.nichols@furniturepro.com,+48434583073
13,Robert,Smith,5326,1,6,6,2022-01-24,robert.smith@furniturepro.com,+48869701207
14,Travis,Stevenson,4326,1,5,3,2022-04-20,travis.stevenson@furniturepro.com,+48714347963
15,Beth,Walton,10293,1,14,1,2022-05-26,beth.walton@furniturepro.com,+48519026641
16,Miguel,Wrzesniak,6067,1,6,5,2022-07-24,miguel.wrzesniak@furniturepro.com,+48344360821
17,Marcin,Walsh,9027,1,9,1,2022-12-06,marcin.walsh@furniturepro.com,+48193237346
18,Tymoteusz,Payne,6715,0,15,1,2022-12-18,tymoteusz.payne@furniturepro.com,+48939495122
19,Christopher,Buchholz,7391,1,6,6,2023-01-11,christopher.buchholz@furniturepro.com,+48764096103
20,Brenda,Muskala,7627,1,3,2,2023-02-08,brenda.muskala@furniturepro.com,+48684489934
21,Joshua,Short,10171,1,11,1,2023-03-05,joshua.short@furniturepro.com,+48248082897
22,Grzegorz,Brudny,4147,1,5,3,2023-05-31,grzegorz.brudny@furniturepro.com,+48769532654
23,Jedrzej,Tanner,6866,1,6,5,2023-07-20,jedrzej.tanner@furniturepro.com,+48735768752
24,Dariusz,Pacura,4498,1,2,2,2023-08-22,dariusz.pacura@furniturepro.com,+48656478101
25,Kimberly,Karwan,7632,1,14,1,2023-08-29,kimberly.karwan@furniturepro.com,+48993897103
26,Barbara,Dzieza,3856,1,5,3,2023-09-02,barbara.dzieza@furniturepro.com,+48761829171
27,Leonard,Ropiak,6158,1,2,2,2023-09-12,leonard.ropiak@furniturepro.com,+48934602002
28,Kaja,Cieciwa,7289,1,3,2,2023-12-20,kaja.cieciwa@furniturepro.com,+48927765457
29,Krystyna,Brown,5049,1,2,2,2024-02-07,krystyna.brown@furniturepro.com,+48894997760
30,Blazej,Costa,6447,1,6,5,2024-06-11,blazej.costa@furniturepro.com,+48443962068
31,Przemyslaw,Hill,7798,1,3,2,2024-12-06,przemyslaw.hill@furniturepro.com,+48924449935
32,Jesse,Szalast,3831,1,5,3,2024-12-22,jesse.szalast@furniturepro.com,+48719866095
33,Nicole,Romero,6412,1,2,2,2025-02-05,nicole.romero@furniturepro.com,+48813284006
34,Taylor,Brown,5462,1,8,6,2025-02-12,taylor.brown@furniturepro.com,+48747442658
35,Stefan,Foster,7781,1,6,5,2025-02-21,stefan.foster@furniturepro.com,+48875771432
36,Przemyslaw,Nelson,6145,1,2,2,2025-03-09,przemyslaw.nelson@furniturepro.com,+48698886890
37,Tiffany,Yang,4960,1,8,6,2025-04-19,tiffany.yang@furniturepro.com,+48670548190
38,Kazimierz,Estrada,4942,1,5,4,2025-05-16,kazimierz.estrada@furniturepro.com,+48902128494
39,Tristan,Small,7189,0,3,2,2025-06-22,tristan.small@furniturepro.com,+48903503956
40,Elizabeth,Thomas,4394,0,2,2,2025-08-21,elizabeth.thomas@furniturepro.com,+48925165622
